"","method","p","l","int.effect","mode","strategy","n","power","test"
"1","polynomial",1,"0.5",0,"loocv","erm",100,0.09,"loocv, erm"
"2","polynomial",1,"0.5",0,"loocv","average",100,0.075,"loocv, average"
"3","polynomial",1,"0.5",0,"AICc","erm",100,0.04,"AICc, erm"
"4","polynomial",1,"0.5",0,"AICc","average",100,0.07,"AICc, average"
"5","polynomial",1,"0.5",0,"GCVc","erm",100,0.05,"GCVc, erm"
"6","polynomial",1,"0.5",0,"GCVc","average",100,0.05,"GCVc, average"
"7","polynomial",1,"0.5",0,"gmpml","erm",100,0.06,"gmpml, erm"
"8","polynomial",1,"0.5",0,"gmpml","average",100,0.065,"gmpml, average"
"9","polynomial",1,"0.5",0.1,"loocv","erm",100,0.81,"loocv, erm"
"10","polynomial",1,"0.5",0.1,"loocv","average",100,0.94,"loocv, average"
"11","polynomial",1,"0.5",0.1,"AICc","erm",100,0.915,"AICc, erm"
"12","polynomial",1,"0.5",0.1,"AICc","average",100,1,"AICc, average"
"13","polynomial",1,"0.5",0.1,"GCVc","erm",100,0.96,"GCVc, erm"
"14","polynomial",1,"0.5",0.1,"GCVc","average",100,0.995,"GCVc, average"
"15","polynomial",1,"0.5",0.1,"gmpml","erm",100,0.99,"gmpml, erm"
"16","polynomial",1,"0.5",0.1,"gmpml","average",100,1,"gmpml, average"
"17","polynomial",1,"0.5",0.2,"loocv","erm",100,0.905,"loocv, erm"
"18","polynomial",1,"0.5",0.2,"loocv","average",100,0.97,"loocv, average"
"19","polynomial",1,"0.5",0.2,"AICc","erm",100,0.975,"AICc, erm"
"20","polynomial",1,"0.5",0.2,"AICc","average",100,1,"AICc, average"
"21","polynomial",1,"0.5",0.2,"GCVc","erm",100,0.99,"GCVc, erm"
"22","polynomial",1,"0.5",0.2,"GCVc","average",100,1,"GCVc, average"
"23","polynomial",1,"0.5",0.2,"gmpml","erm",100,1,"gmpml, erm"
"24","polynomial",1,"0.5",0.2,"gmpml","average",100,1,"gmpml, average"
"25","polynomial",1,"0.5",0.3,"loocv","erm",100,0.895,"loocv, erm"
"26","polynomial",1,"0.5",0.3,"loocv","average",100,0.965,"loocv, average"
"27","polynomial",1,"0.5",0.3,"AICc","erm",100,1,"AICc, erm"
"28","polynomial",1,"0.5",0.3,"AICc","average",100,1,"AICc, average"
"29","polynomial",1,"0.5",0.3,"GCVc","erm",100,1,"GCVc, erm"
"30","polynomial",1,"0.5",0.3,"GCVc","average",100,1,"GCVc, average"
"31","polynomial",1,"0.5",0.3,"gmpml","erm",100,1,"gmpml, erm"
"32","polynomial",1,"0.5",0.3,"gmpml","average",100,1,"gmpml, average"
"33","polynomial",2,"1",0,"loocv","erm",100,0.045,"loocv, erm"
"34","polynomial",2,"1",0,"loocv","average",100,0.05,"loocv, average"
"35","polynomial",2,"1",0,"AICc","erm",100,0.05,"AICc, erm"
"36","polynomial",2,"1",0,"AICc","average",100,0.065,"AICc, average"
"37","polynomial",2,"1",0,"GCVc","erm",100,0.035,"GCVc, erm"
"38","polynomial",2,"1",0,"GCVc","average",100,0.07,"GCVc, average"
"39","polynomial",2,"1",0,"gmpml","erm",100,0.08,"gmpml, erm"
"40","polynomial",2,"1",0,"gmpml","average",100,0.035,"gmpml, average"
"41","polynomial",2,"1",0.1,"loocv","erm",100,0.48,"loocv, erm"
"42","polynomial",2,"1",0.1,"loocv","average",100,0.505,"loocv, average"
"43","polynomial",2,"1",0.1,"AICc","erm",100,0.68,"AICc, erm"
"44","polynomial",2,"1",0.1,"AICc","average",100,0.645,"AICc, average"
"45","polynomial",2,"1",0.1,"GCVc","erm",100,0.665,"GCVc, erm"
"46","polynomial",2,"1",0.1,"GCVc","average",100,0.65,"GCVc, average"
"47","polynomial",2,"1",0.1,"gmpml","erm",100,0.715,"gmpml, erm"
"48","polynomial",2,"1",0.1,"gmpml","average",100,0.655,"gmpml, average"
"49","polynomial",2,"1",0.2,"loocv","erm",100,0.545,"loocv, erm"
"50","polynomial",2,"1",0.2,"loocv","average",100,0.485,"loocv, average"
"51","polynomial",2,"1",0.2,"AICc","erm",100,0.79,"AICc, erm"
"52","polynomial",2,"1",0.2,"AICc","average",100,0.805,"AICc, average"
"53","polynomial",2,"1",0.2,"GCVc","erm",100,0.79,"GCVc, erm"
"54","polynomial",2,"1",0.2,"GCVc","average",100,0.83,"GCVc, average"
"55","polynomial",2,"1",0.2,"gmpml","erm",100,0.865,"gmpml, erm"
"56","polynomial",2,"1",0.2,"gmpml","average",100,0.82,"gmpml, average"
"57","polynomial",2,"1",0.3,"loocv","erm",100,0.515,"loocv, erm"
"58","polynomial",2,"1",0.3,"loocv","average",100,0.46,"loocv, average"
"59","polynomial",2,"1",0.3,"AICc","erm",100,0.81,"AICc, erm"
"60","polynomial",2,"1",0.3,"AICc","average",100,0.85,"AICc, average"
"61","polynomial",2,"1",0.3,"GCVc","erm",100,0.8,"GCVc, erm"
"62","polynomial",2,"1",0.3,"GCVc","average",100,0.82,"GCVc, average"
"63","polynomial",2,"1",0.3,"gmpml","erm",100,0.87,"gmpml, erm"
"64","polynomial",2,"1",0.3,"gmpml","average",100,0.91,"gmpml, average"
"65","polynomial",3,"1.5",0,"loocv","erm",100,0.03,"loocv, erm"
"66","polynomial",3,"1.5",0,"loocv","average",100,0.065,"loocv, average"
"67","polynomial",3,"1.5",0,"AICc","erm",100,0.045,"AICc, erm"
"68","polynomial",3,"1.5",0,"AICc","average",100,0.06,"AICc, average"
"69","polynomial",3,"1.5",0,"GCVc","erm",100,0.045,"GCVc, erm"
"70","polynomial",3,"1.5",0,"GCVc","average",100,0.05,"GCVc, average"
"71","polynomial",3,"1.5",0,"gmpml","erm",100,0.055,"gmpml, erm"
"72","polynomial",3,"1.5",0,"gmpml","average",100,0.05,"gmpml, average"
"73","polynomial",3,"1.5",0.1,"loocv","erm",100,0.73,"loocv, erm"
"74","polynomial",3,"1.5",0.1,"loocv","average",100,0.63,"loocv, average"
"75","polynomial",3,"1.5",0.1,"AICc","erm",100,0.845,"AICc, erm"
"76","polynomial",3,"1.5",0.1,"AICc","average",100,0.835,"AICc, average"
"77","polynomial",3,"1.5",0.1,"GCVc","erm",100,0.83,"GCVc, erm"
"78","polynomial",3,"1.5",0.1,"GCVc","average",100,0.855,"GCVc, average"
"79","polynomial",3,"1.5",0.1,"gmpml","erm",100,0.79,"gmpml, erm"
"80","polynomial",3,"1.5",0.1,"gmpml","average",100,0.825,"gmpml, average"
"81","polynomial",3,"1.5",0.2,"loocv","erm",100,0.57,"loocv, erm"
"82","polynomial",3,"1.5",0.2,"loocv","average",100,0.42,"loocv, average"
"83","polynomial",3,"1.5",0.2,"AICc","erm",100,0.925,"AICc, erm"
"84","polynomial",3,"1.5",0.2,"AICc","average",100,0.915,"AICc, average"
"85","polynomial",3,"1.5",0.2,"GCVc","erm",100,0.855,"GCVc, erm"
"86","polynomial",3,"1.5",0.2,"GCVc","average",100,0.905,"GCVc, average"
"87","polynomial",3,"1.5",0.2,"gmpml","erm",100,0.925,"gmpml, erm"
"88","polynomial",3,"1.5",0.2,"gmpml","average",100,0.94,"gmpml, average"
"89","polynomial",3,"1.5",0.3,"loocv","erm",100,0.355,"loocv, erm"
"90","polynomial",3,"1.5",0.3,"loocv","average",100,0.24,"loocv, average"
"91","polynomial",3,"1.5",0.3,"AICc","erm",100,0.88,"AICc, erm"
"92","polynomial",3,"1.5",0.3,"AICc","average",100,0.915,"AICc, average"
"93","polynomial",3,"1.5",0.3,"GCVc","erm",100,0.835,"GCVc, erm"
"94","polynomial",3,"1.5",0.3,"GCVc","average",100,0.91,"GCVc, average"
"95","polynomial",3,"1.5",0.3,"gmpml","erm",100,0.9,"gmpml, erm"
"96","polynomial",3,"1.5",0.3,"gmpml","average",100,0.94,"gmpml, average"
"97","rbf",1,"0.5",0,"loocv","erm",100,0.025,"loocv, erm"
"98","rbf",1,"0.5",0,"loocv","average",100,0,"loocv, average"
"99","rbf",1,"0.5",0,"AICc","erm",100,0.065,"AICc, erm"
"100","rbf",1,"0.5",0,"AICc","average",100,0.075,"AICc, average"
"101","rbf",1,"0.5",0,"GCVc","erm",100,0.075,"GCVc, erm"
"102","rbf",1,"0.5",0,"GCVc","average",100,0.095,"GCVc, average"
"103","rbf",1,"0.5",0,"gmpml","erm",100,0.085,"gmpml, erm"
"104","rbf",1,"0.5",0,"gmpml","average",100,0.08,"gmpml, average"
"105","rbf",1,"0.5",0.1,"loocv","erm",100,0.025,"loocv, erm"
"106","rbf",1,"0.5",0.1,"loocv","average",100,0,"loocv, average"
"107","rbf",1,"0.5",0.1,"AICc","erm",100,0.09,"AICc, erm"
"108","rbf",1,"0.5",0.1,"AICc","average",100,0.085,"AICc, average"
"109","rbf",1,"0.5",0.1,"GCVc","erm",100,0.07,"GCVc, erm"
"110","rbf",1,"0.5",0.1,"GCVc","average",100,0.08,"GCVc, average"
"111","rbf",1,"0.5",0.1,"gmpml","erm",100,0.055,"gmpml, erm"
"112","rbf",1,"0.5",0.1,"gmpml","average",100,0.08,"gmpml, average"
"113","rbf",1,"0.5",0.2,"loocv","erm",100,0.02,"loocv, erm"
"114","rbf",1,"0.5",0.2,"loocv","average",100,0.015,"loocv, average"
"115","rbf",1,"0.5",0.2,"AICc","erm",100,0.075,"AICc, erm"
"116","rbf",1,"0.5",0.2,"AICc","average",100,0.09,"AICc, average"
"117","rbf",1,"0.5",0.2,"GCVc","erm",100,0.05,"GCVc, erm"
"118","rbf",1,"0.5",0.2,"GCVc","average",100,0.04,"GCVc, average"
"119","rbf",1,"0.5",0.2,"gmpml","erm",100,0.1,"gmpml, erm"
"120","rbf",1,"0.5",0.2,"gmpml","average",100,0.06,"gmpml, average"
"121","rbf",1,"0.5",0.3,"loocv","erm",100,0.025,"loocv, erm"
"122","rbf",1,"0.5",0.3,"loocv","average",100,0,"loocv, average"
"123","rbf",1,"0.5",0.3,"AICc","erm",100,0.065,"AICc, erm"
"124","rbf",1,"0.5",0.3,"AICc","average",100,0.075,"AICc, average"
"125","rbf",1,"0.5",0.3,"GCVc","erm",100,0.05,"GCVc, erm"
"126","rbf",1,"0.5",0.3,"GCVc","average",100,0.1,"GCVc, average"
"127","rbf",1,"0.5",0.3,"gmpml","erm",100,0.085,"gmpml, erm"
"128","rbf",1,"0.5",0.3,"gmpml","average",100,0.075,"gmpml, average"
"129","rbf",2,"1",0,"loocv","erm",100,0.095,"loocv, erm"
"130","rbf",2,"1",0,"loocv","average",100,0.03,"loocv, average"
"131","rbf",2,"1",0,"AICc","erm",100,0.145,"AICc, erm"
"132","rbf",2,"1",0,"AICc","average",100,0.125,"AICc, average"
"133","rbf",2,"1",0,"GCVc","erm",100,0.135,"GCVc, erm"
"134","rbf",2,"1",0,"GCVc","average",100,0.15,"GCVc, average"
"135","rbf",2,"1",0,"gmpml","erm",100,0.21,"gmpml, erm"
"136","rbf",2,"1",0,"gmpml","average",100,0.175,"gmpml, average"
"137","rbf",2,"1",0.1,"loocv","erm",100,0.225,"loocv, erm"
"138","rbf",2,"1",0.1,"loocv","average",100,0.12,"loocv, average"
"139","rbf",2,"1",0.1,"AICc","erm",100,0.325,"AICc, erm"
"140","rbf",2,"1",0.1,"AICc","average",100,0.375,"AICc, average"
"141","rbf",2,"1",0.1,"GCVc","erm",100,0.345,"GCVc, erm"
"142","rbf",2,"1",0.1,"GCVc","average",100,0.37,"GCVc, average"
"143","rbf",2,"1",0.1,"gmpml","erm",100,0.36,"gmpml, erm"
"144","rbf",2,"1",0.1,"gmpml","average",100,0.38,"gmpml, average"
"145","rbf",2,"1",0.2,"loocv","erm",100,0.335,"loocv, erm"
"146","rbf",2,"1",0.2,"loocv","average",100,0.21,"loocv, average"
"147","rbf",2,"1",0.2,"AICc","erm",100,0.49,"AICc, erm"
"148","rbf",2,"1",0.2,"AICc","average",100,0.545,"AICc, average"
"149","rbf",2,"1",0.2,"GCVc","erm",100,0.53,"GCVc, erm"
"150","rbf",2,"1",0.2,"GCVc","average",100,0.58,"GCVc, average"
"151","rbf",2,"1",0.2,"gmpml","erm",100,0.49,"gmpml, erm"
"152","rbf",2,"1",0.2,"gmpml","average",100,0.615,"gmpml, average"
"153","rbf",2,"1",0.3,"loocv","erm",100,0.3,"loocv, erm"
"154","rbf",2,"1",0.3,"loocv","average",100,0.22,"loocv, average"
"155","rbf",2,"1",0.3,"AICc","erm",100,0.52,"AICc, erm"
"156","rbf",2,"1",0.3,"AICc","average",100,0.655,"AICc, average"
"157","rbf",2,"1",0.3,"GCVc","erm",100,0.61,"GCVc, erm"
"158","rbf",2,"1",0.3,"GCVc","average",100,0.62,"GCVc, average"
"159","rbf",2,"1",0.3,"gmpml","erm",100,0.615,"gmpml, erm"
"160","rbf",2,"1",0.3,"gmpml","average",100,0.66,"gmpml, average"
"161","rbf",3,"1.5",0,"loocv","erm",100,0.07,"loocv, erm"
"162","rbf",3,"1.5",0,"loocv","average",100,0.075,"loocv, average"
"163","rbf",3,"1.5",0,"AICc","erm",100,0.165,"AICc, erm"
"164","rbf",3,"1.5",0,"AICc","average",100,0.07,"AICc, average"
"165","rbf",3,"1.5",0,"GCVc","erm",100,0.15,"GCVc, erm"
"166","rbf",3,"1.5",0,"GCVc","average",100,0.07,"GCVc, average"
"167","rbf",3,"1.5",0,"gmpml","erm",100,0.135,"gmpml, erm"
"168","rbf",3,"1.5",0,"gmpml","average",100,0.09,"gmpml, average"
"169","rbf",3,"1.5",0.1,"loocv","erm",100,0.465,"loocv, erm"
"170","rbf",3,"1.5",0.1,"loocv","average",100,0.495,"loocv, average"
"171","rbf",3,"1.5",0.1,"AICc","erm",100,0.605,"AICc, erm"
"172","rbf",3,"1.5",0.1,"AICc","average",100,0.74,"AICc, average"
"173","rbf",3,"1.5",0.1,"GCVc","erm",100,0.68,"GCVc, erm"
"174","rbf",3,"1.5",0.1,"GCVc","average",100,0.755,"GCVc, average"
"175","rbf",3,"1.5",0.1,"gmpml","erm",100,0.665,"gmpml, erm"
"176","rbf",3,"1.5",0.1,"gmpml","average",100,0.745,"gmpml, average"
"177","rbf",3,"1.5",0.2,"loocv","erm",100,0.5,"loocv, erm"
"178","rbf",3,"1.5",0.2,"loocv","average",100,0.64,"loocv, average"
"179","rbf",3,"1.5",0.2,"AICc","erm",100,0.755,"AICc, erm"
"180","rbf",3,"1.5",0.2,"AICc","average",100,0.87,"AICc, average"
"181","rbf",3,"1.5",0.2,"GCVc","erm",100,0.805,"GCVc, erm"
"182","rbf",3,"1.5",0.2,"GCVc","average",100,0.92,"GCVc, average"
"183","rbf",3,"1.5",0.2,"gmpml","erm",100,0.775,"gmpml, erm"
"184","rbf",3,"1.5",0.2,"gmpml","average",100,0.915,"gmpml, average"
"185","rbf",3,"1.5",0.3,"loocv","erm",100,0.465,"loocv, erm"
"186","rbf",3,"1.5",0.3,"loocv","average",100,0.58,"loocv, average"
"187","rbf",3,"1.5",0.3,"AICc","erm",100,0.685,"AICc, erm"
"188","rbf",3,"1.5",0.3,"AICc","average",100,0.88,"AICc, average"
"189","rbf",3,"1.5",0.3,"GCVc","erm",100,0.695,"GCVc, erm"
"190","rbf",3,"1.5",0.3,"GCVc","average",100,0.895,"GCVc, average"
"191","rbf",3,"1.5",0.3,"gmpml","erm",100,0.845,"gmpml, erm"
"192","rbf",3,"1.5",0.3,"gmpml","average",100,0.915,"gmpml, average"
"193","matern_0.5",0,"0.5",0,"loocv","erm",100,0.025,"loocv, erm"
"194","matern_0.5",0,"0.5",0,"loocv","average",100,0.01,"loocv, average"
"195","matern_0.5",0,"0.5",0,"AICc","erm",100,0.045,"AICc, erm"
"196","matern_0.5",0,"0.5",0,"AICc","average",100,0.055,"AICc, average"
"197","matern_0.5",0,"0.5",0,"GCVc","erm",100,0.06,"GCVc, erm"
"198","matern_0.5",0,"0.5",0,"GCVc","average",100,0.03,"GCVc, average"
"199","matern_0.5",0,"0.5",0,"gmpml","erm",100,0.085,"gmpml, erm"
"200","matern_0.5",0,"0.5",0,"gmpml","average",100,0.085,"gmpml, average"
"201","matern_0.5",0,"0.5",0.1,"loocv","erm",100,0.015,"loocv, erm"
"202","matern_0.5",0,"0.5",0.1,"loocv","average",100,0,"loocv, average"
"203","matern_0.5",0,"0.5",0.1,"AICc","erm",100,0.045,"AICc, erm"
"204","matern_0.5",0,"0.5",0.1,"AICc","average",100,0.06,"AICc, average"
"205","matern_0.5",0,"0.5",0.1,"GCVc","erm",100,0.04,"GCVc, erm"
"206","matern_0.5",0,"0.5",0.1,"GCVc","average",100,0.065,"GCVc, average"
"207","matern_0.5",0,"0.5",0.1,"gmpml","erm",100,0.06,"gmpml, erm"
"208","matern_0.5",0,"0.5",0.1,"gmpml","average",100,0.06,"gmpml, average"
"209","matern_0.5",0,"0.5",0.2,"loocv","erm",100,0.025,"loocv, erm"
"210","matern_0.5",0,"0.5",0.2,"loocv","average",100,0.01,"loocv, average"
"211","matern_0.5",0,"0.5",0.2,"AICc","erm",100,0.065,"AICc, erm"
"212","matern_0.5",0,"0.5",0.2,"AICc","average",100,0.07,"AICc, average"
"213","matern_0.5",0,"0.5",0.2,"GCVc","erm",100,0.04,"GCVc, erm"
"214","matern_0.5",0,"0.5",0.2,"GCVc","average",100,0.06,"GCVc, average"
"215","matern_0.5",0,"0.5",0.2,"gmpml","erm",100,0.095,"gmpml, erm"
"216","matern_0.5",0,"0.5",0.2,"gmpml","average",100,0.09,"gmpml, average"
"217","matern_0.5",0,"0.5",0.3,"loocv","erm",100,0.01,"loocv, erm"
"218","matern_0.5",0,"0.5",0.3,"loocv","average",100,0,"loocv, average"
"219","matern_0.5",0,"0.5",0.3,"AICc","erm",100,0.035,"AICc, erm"
"220","matern_0.5",0,"0.5",0.3,"AICc","average",100,0.055,"AICc, average"
"221","matern_0.5",0,"0.5",0.3,"GCVc","erm",100,0.07,"GCVc, erm"
"222","matern_0.5",0,"0.5",0.3,"GCVc","average",100,0.04,"GCVc, average"
"223","matern_0.5",0,"0.5",0.3,"gmpml","erm",100,0.08,"gmpml, erm"
"224","matern_0.5",0,"0.5",0.3,"gmpml","average",100,0.09,"gmpml, average"
"225","matern_1.5",1,"1",0,"loocv","erm",100,0.075,"loocv, erm"
"226","matern_1.5",1,"1",0,"loocv","average",100,0.025,"loocv, average"
"227","matern_1.5",1,"1",0,"AICc","erm",100,0.11,"AICc, erm"
"228","matern_1.5",1,"1",0,"AICc","average",100,0.105,"AICc, average"
"229","matern_1.5",1,"1",0,"GCVc","erm",100,0.115,"GCVc, erm"
"230","matern_1.5",1,"1",0,"GCVc","average",100,0.11,"GCVc, average"
"231","matern_1.5",1,"1",0,"gmpml","erm",100,0.135,"gmpml, erm"
"232","matern_1.5",1,"1",0,"gmpml","average",100,0.145,"gmpml, average"
"233","matern_1.5",1,"1",0.1,"loocv","erm",100,0.085,"loocv, erm"
"234","matern_1.5",1,"1",0.1,"loocv","average",100,0.03,"loocv, average"
"235","matern_1.5",1,"1",0.1,"AICc","erm",100,0.195,"AICc, erm"
"236","matern_1.5",1,"1",0.1,"AICc","average",100,0.215,"AICc, average"
"237","matern_1.5",1,"1",0.1,"GCVc","erm",100,0.21,"GCVc, erm"
"238","matern_1.5",1,"1",0.1,"GCVc","average",100,0.17,"GCVc, average"
"239","matern_1.5",1,"1",0.1,"gmpml","erm",100,0.2,"gmpml, erm"
"240","matern_1.5",1,"1",0.1,"gmpml","average",100,0.15,"gmpml, average"
"241","matern_1.5",1,"1",0.2,"loocv","erm",100,0.13,"loocv, erm"
"242","matern_1.5",1,"1",0.2,"loocv","average",100,0.07,"loocv, average"
"243","matern_1.5",1,"1",0.2,"AICc","erm",100,0.185,"AICc, erm"
"244","matern_1.5",1,"1",0.2,"AICc","average",100,0.285,"AICc, average"
"245","matern_1.5",1,"1",0.2,"GCVc","erm",100,0.225,"GCVc, erm"
