"","method","p","l","int.effect","mode","strategy","n","power","test"
"246","matern_1.5",1,"1",0.2,"GCVc","average",100,0.235,"GCVc, average"
"247","matern_1.5",1,"1",0.2,"gmpml","erm",100,0.245,"gmpml, erm"
"248","matern_1.5",1,"1",0.2,"gmpml","average",100,0.285,"gmpml, average"
"249","matern_1.5",1,"1",0.3,"loocv","erm",100,0.155,"loocv, erm"
"250","matern_1.5",1,"1",0.3,"loocv","average",100,0.115,"loocv, average"
"251","matern_1.5",1,"1",0.3,"AICc","erm",100,0.305,"AICc, erm"
"252","matern_1.5",1,"1",0.3,"AICc","average",100,0.305,"AICc, average"
"253","matern_1.5",1,"1",0.3,"GCVc","erm",100,0.27,"GCVc, erm"
"254","matern_1.5",1,"1",0.3,"GCVc","average",100,0.29,"GCVc, average"
"255","matern_1.5",1,"1",0.3,"gmpml","erm",100,0.275,"gmpml, erm"
"256","matern_1.5",1,"1",0.3,"gmpml","average",100,0.36,"gmpml, average"
"257","matern_2.5",2,"1.5",0,"loocv","erm",100,0.055,"loocv, erm"
"258","matern_2.5",2,"1.5",0,"loocv","average",100,0.045,"loocv, average"
"259","matern_2.5",2,"1.5",0,"AICc","erm",100,0.115,"AICc, erm"
"260","matern_2.5",2,"1.5",0,"AICc","average",100,0.14,"AICc, average"
"261","matern_2.5",2,"1.5",0,"GCVc","erm",100,0.13,"GCVc, erm"
"262","matern_2.5",2,"1.5",0,"GCVc","average",100,0.13,"GCVc, average"
"263","matern_2.5",2,"1.5",0,"gmpml","erm",100,0.115,"gmpml, erm"
"264","matern_2.5",2,"1.5",0,"gmpml","average",100,0.07,"gmpml, average"
"265","matern_2.5",2,"1.5",0.1,"loocv","erm",100,0.37,"loocv, erm"
"266","matern_2.5",2,"1.5",0.1,"loocv","average",100,0.305,"loocv, average"
"267","matern_2.5",2,"1.5",0.1,"AICc","erm",100,0.55,"AICc, erm"
"268","matern_2.5",2,"1.5",0.1,"AICc","average",100,0.575,"AICc, average"
"269","matern_2.5",2,"1.5",0.1,"GCVc","erm",100,0.545,"GCVc, erm"
"270","matern_2.5",2,"1.5",0.1,"GCVc","average",100,0.62,"GCVc, average"
"271","matern_2.5",2,"1.5",0.1,"gmpml","erm",100,0.5,"gmpml, erm"
"272","matern_2.5",2,"1.5",0.1,"gmpml","average",100,0.62,"gmpml, average"
"273","matern_2.5",2,"1.5",0.2,"loocv","erm",100,0.46,"loocv, erm"
"274","matern_2.5",2,"1.5",0.2,"loocv","average",100,0.415,"loocv, average"
"275","matern_2.5",2,"1.5",0.2,"AICc","erm",100,0.61,"AICc, erm"
"276","matern_2.5",2,"1.5",0.2,"AICc","average",100,0.795,"AICc, average"
"277","matern_2.5",2,"1.5",0.2,"GCVc","erm",100,0.615,"GCVc, erm"
"278","matern_2.5",2,"1.5",0.2,"GCVc","average",100,0.78,"GCVc, average"
"279","matern_2.5",2,"1.5",0.2,"gmpml","erm",100,0.675,"gmpml, erm"
"280","matern_2.5",2,"1.5",0.2,"gmpml","average",100,0.795,"gmpml, average"
"281","matern_2.5",2,"1.5",0.3,"loocv","erm",100,0.39,"loocv, erm"
"282","matern_2.5",2,"1.5",0.3,"loocv","average",100,0.445,"loocv, average"
"283","matern_2.5",2,"1.5",0.3,"AICc","erm",100,0.675,"AICc, erm"
"284","matern_2.5",2,"1.5",0.3,"AICc","average",100,0.83,"AICc, average"
"285","matern_2.5",2,"1.5",0.3,"GCVc","erm",100,0.635,"GCVc, erm"
"286","matern_2.5",2,"1.5",0.3,"GCVc","average",100,0.82,"GCVc, average"
"287","matern_2.5",2,"1.5",0.3,"gmpml","erm",100,0.755,"gmpml, erm"
"288","matern_2.5",2,"1.5",0.3,"gmpml","average",100,0.82,"gmpml, average"
"289","matern_0.5",0,"1",0,"loocv","erm",100,0.065,"loocv, erm"
"290","matern_0.5",0,"1.5",0,"loocv","erm",100,0.025,"loocv, erm"
"291","matern_0.5",0,"1",0,"loocv","average",100,0.035,"loocv, average"
"292","matern_0.5",0,"1.5",0,"loocv","average",100,0.035,"loocv, average"
"293","matern_0.5",0,"1",0,"AICc","erm",100,0.1,"AICc, erm"
"294","matern_0.5",0,"1.5",0,"AICc","erm",100,0.1,"AICc, erm"
"295","matern_0.5",0,"1",0,"AICc","average",100,0.07,"AICc, average"
"296","matern_0.5",0,"1.5",0,"AICc","average",100,0.09,"AICc, average"
"297","matern_0.5",0,"1",0,"GCVc","erm",100,0.085,"GCVc, erm"
"298","matern_0.5",0,"1.5",0,"GCVc","erm",100,0.11,"GCVc, erm"
"299","matern_0.5",0,"1",0,"GCVc","average",100,0.08,"GCVc, average"
"300","matern_0.5",0,"1.5",0,"GCVc","average",100,0.11,"GCVc, average"
"301","matern_0.5",0,"1",0,"gmpml","erm",100,0.09,"gmpml, erm"
"302","matern_0.5",0,"1.5",0,"gmpml","erm",100,0.1,"gmpml, erm"
"303","matern_0.5",0,"1",0,"gmpml","average",100,0.09,"gmpml, average"
"304","matern_0.5",0,"1.5",0,"gmpml","average",100,0.08,"gmpml, average"
"305","matern_0.5",0,"1",0.1,"loocv","erm",100,0.02,"loocv, erm"
"306","matern_0.5",0,"1.5",0.1,"loocv","erm",100,0.03,"loocv, erm"
"307","matern_0.5",0,"1",0.1,"loocv","average",100,0.005,"loocv, average"
"308","matern_0.5",0,"1.5",0.1,"loocv","average",100,0.03,"loocv, average"
"309","matern_0.5",0,"1",0.1,"AICc","erm",100,0.095,"AICc, erm"
"310","matern_0.5",0,"1.5",0.1,"AICc","erm",100,0.1,"AICc, erm"
"311","matern_0.5",0,"1",0.1,"AICc","average",100,0.065,"AICc, average"
"312","matern_0.5",0,"1.5",0.1,"AICc","average",100,0.06,"AICc, average"
"313","matern_0.5",0,"1",0.1,"GCVc","erm",100,0.065,"GCVc, erm"
"314","matern_0.5",0,"1.5",0.1,"GCVc","erm",100,0.09,"GCVc, erm"
"315","matern_0.5",0,"1",0.1,"GCVc","average",100,0.05,"GCVc, average"
"316","matern_0.5",0,"1.5",0.1,"GCVc","average",100,0.085,"GCVc, average"
"317","matern_0.5",0,"1",0.1,"gmpml","erm",100,0.09,"gmpml, erm"
"318","matern_0.5",0,"1.5",0.1,"gmpml","erm",100,0.06,"gmpml, erm"
"319","matern_0.5",0,"1",0.1,"gmpml","average",100,0.095,"gmpml, average"
"320","matern_0.5",0,"1.5",0.1,"gmpml","average",100,0.07,"gmpml, average"
"321","matern_0.5",0,"1",0.2,"loocv","erm",100,0.035,"loocv, erm"
"322","matern_0.5",0,"1.5",0.2,"loocv","erm",100,0.02,"loocv, erm"
"323","matern_0.5",0,"1",0.2,"loocv","average",100,0.005,"loocv, average"
"324","matern_0.5",0,"1.5",0.2,"loocv","average",100,0.015,"loocv, average"
"325","matern_0.5",0,"1",0.2,"AICc","erm",100,0.085,"AICc, erm"
"326","matern_0.5",0,"1.5",0.2,"AICc","erm",100,0.065,"AICc, erm"
"327","matern_0.5",0,"1",0.2,"AICc","average",100,0.065,"AICc, average"
"328","matern_0.5",0,"1.5",0.2,"AICc","average",100,0.08,"AICc, average"
"329","matern_0.5",0,"1",0.2,"GCVc","erm",100,0.06,"GCVc, erm"
"330","matern_0.5",0,"1.5",0.2,"GCVc","erm",100,0.055,"GCVc, erm"
"331","matern_0.5",0,"1",0.2,"GCVc","average",100,0.045,"GCVc, average"
"332","matern_0.5",0,"1.5",0.2,"GCVc","average",100,0.06,"GCVc, average"
"333","matern_0.5",0,"1",0.2,"gmpml","erm",100,0.025,"gmpml, erm"
"334","matern_0.5",0,"1.5",0.2,"gmpml","erm",100,0.045,"gmpml, erm"
"335","matern_0.5",0,"1",0.2,"gmpml","average",100,0.045,"gmpml, average"
"336","matern_0.5",0,"1.5",0.2,"gmpml","average",100,0.04,"gmpml, average"
"337","matern_0.5",0,"1",0.3,"loocv","erm",100,0.03,"loocv, erm"
"338","matern_0.5",0,"1.5",0.3,"loocv","erm",100,0.03,"loocv, erm"
"339","matern_0.5",0,"1",0.3,"loocv","average",100,0.02,"loocv, average"
"340","matern_0.5",0,"1.5",0.3,"loocv","average",100,0.04,"loocv, average"
"341","matern_0.5",0,"1",0.3,"AICc","erm",100,0.05,"AICc, erm"
"342","matern_0.5",0,"1.5",0.3,"AICc","erm",100,0.035,"AICc, erm"
"343","matern_0.5",0,"1",0.3,"AICc","average",100,0.06,"AICc, average"
"344","matern_0.5",0,"1.5",0.3,"AICc","average",100,0.035,"AICc, average"
"345","matern_0.5",0,"1",0.3,"GCVc","erm",100,0.07,"GCVc, erm"
"346","matern_0.5",0,"1.5",0.3,"GCVc","erm",100,0.04,"GCVc, erm"
"347","matern_0.5",0,"1",0.3,"GCVc","average",100,0.07,"GCVc, average"
"348","matern_0.5",0,"1.5",0.3,"GCVc","average",100,0.04,"GCVc, average"
"349","matern_0.5",0,"1",0.3,"gmpml","erm",100,0.08,"gmpml, erm"
"350","matern_0.5",0,"1.5",0.3,"gmpml","erm",100,0.03,"gmpml, erm"
"351","matern_0.5",0,"1",0.3,"gmpml","average",100,0.1,"gmpml, average"
"352","matern_0.5",0,"1.5",0.3,"gmpml","average",100,0.05,"gmpml, average"
"353","matern_1.5",1,"0.5",0,"loocv","erm",100,0.035,"loocv, erm"
"354","matern_1.5",1,"1.5",0,"loocv","erm",100,0.06,"loocv, erm"
"355","matern_1.5",1,"0.5",0,"loocv","average",100,0.015,"loocv, average"
"356","matern_1.5",1,"1.5",0,"loocv","average",100,0.02,"loocv, average"
"357","matern_1.5",1,"0.5",0,"AICc","erm",100,0.07,"AICc, erm"
"358","matern_1.5",1,"1.5",0,"AICc","erm",100,0.095,"AICc, erm"
"359","matern_1.5",1,"0.5",0,"AICc","average",100,0.055,"AICc, average"
"360","matern_1.5",1,"1.5",0,"AICc","average",100,0.1,"AICc, average"
"361","matern_1.5",1,"0.5",0,"GCVc","erm",100,0.05,"GCVc, erm"
"362","matern_1.5",1,"1.5",0,"GCVc","erm",100,0.135,"GCVc, erm"
"363","matern_1.5",1,"0.5",0,"GCVc","average",100,0.065,"GCVc, average"
"364","matern_1.5",1,"1.5",0,"GCVc","average",100,0.105,"GCVc, average"
"365","matern_1.5",1,"0.5",0,"gmpml","erm",100,0.09,"gmpml, erm"
"366","matern_1.5",1,"1.5",0,"gmpml","erm",100,0.12,"gmpml, erm"
"367","matern_1.5",1,"0.5",0,"gmpml","average",100,0.115,"gmpml, average"
"368","matern_1.5",1,"1.5",0,"gmpml","average",100,0.105,"gmpml, average"
"369","matern_1.5",1,"0.5",0.1,"loocv","erm",100,0.04,"loocv, erm"
"370","matern_1.5",1,"1.5",0.1,"loocv","erm",100,0.295,"loocv, erm"
"371","matern_1.5",1,"0.5",0.1,"loocv","average",100,0,"loocv, average"
"372","matern_1.5",1,"1.5",0.1,"loocv","average",100,0.24,"loocv, average"
"373","matern_1.5",1,"0.5",0.1,"AICc","erm",100,0.07,"AICc, erm"
"374","matern_1.5",1,"1.5",0.1,"AICc","erm",100,0.425,"AICc, erm"
"375","matern_1.5",1,"0.5",0.1,"AICc","average",100,0.085,"AICc, average"
"376","matern_1.5",1,"1.5",0.1,"AICc","average",100,0.46,"AICc, average"
"377","matern_1.5",1,"0.5",0.1,"GCVc","erm",100,0.03,"GCVc, erm"
"378","matern_1.5",1,"1.5",0.1,"GCVc","erm",100,0.395,"GCVc, erm"
"379","matern_1.5",1,"0.5",0.1,"GCVc","average",100,0.07,"GCVc, average"
"380","matern_1.5",1,"1.5",0.1,"GCVc","average",100,0.47,"GCVc, average"
"381","matern_1.5",1,"0.5",0.1,"gmpml","erm",100,0.06,"gmpml, erm"
"382","matern_1.5",1,"1.5",0.1,"gmpml","erm",100,0.535,"gmpml, erm"
"383","matern_1.5",1,"0.5",0.1,"gmpml","average",100,0.07,"gmpml, average"
"384","matern_1.5",1,"1.5",0.1,"gmpml","average",100,0.49,"gmpml, average"
"385","matern_1.5",1,"0.5",0.2,"loocv","erm",100,0.03,"loocv, erm"
"386","matern_1.5",1,"1.5",0.2,"loocv","erm",100,0.405,"loocv, erm"
"387","matern_1.5",1,"0.5",0.2,"loocv","average",100,0.005,"loocv, average"
"388","matern_1.5",1,"1.5",0.2,"loocv","average",100,0.365,"loocv, average"
"389","matern_1.5",1,"0.5",0.2,"AICc","erm",100,0.055,"AICc, erm"
"390","matern_1.5",1,"1.5",0.2,"AICc","erm",100,0.54,"AICc, erm"
"391","matern_1.5",1,"0.5",0.2,"AICc","average",100,0.065,"AICc, average"
"392","matern_1.5",1,"1.5",0.2,"AICc","average",100,0.655,"AICc, average"
"393","matern_1.5",1,"0.5",0.2,"GCVc","erm",100,0.055,"GCVc, erm"
"394","matern_1.5",1,"1.5",0.2,"GCVc","erm",100,0.55,"GCVc, erm"
"395","matern_1.5",1,"0.5",0.2,"GCVc","average",100,0.06,"GCVc, average"
"396","matern_1.5",1,"1.5",0.2,"GCVc","average",100,0.645,"GCVc, average"
"397","matern_1.5",1,"0.5",0.2,"gmpml","erm",100,0.045,"gmpml, erm"
"398","matern_1.5",1,"1.5",0.2,"gmpml","erm",100,0.645,"gmpml, erm"
"399","matern_1.5",1,"0.5",0.2,"gmpml","average",100,0.06,"gmpml, average"
"400","matern_1.5",1,"1.5",0.2,"gmpml","average",100,0.67,"gmpml, average"
"401","matern_1.5",1,"0.5",0.3,"loocv","erm",100,0.015,"loocv, erm"
"402","matern_1.5",1,"1.5",0.3,"loocv","erm",100,0.45,"loocv, erm"
"403","matern_1.5",1,"0.5",0.3,"loocv","average",100,0.01,"loocv, average"
"404","matern_1.5",1,"1.5",0.3,"loocv","average",100,0.35,"loocv, average"
"405","matern_1.5",1,"0.5",0.3,"AICc","erm",100,0.025,"AICc, erm"
"406","matern_1.5",1,"1.5",0.3,"AICc","erm",100,0.54,"AICc, erm"
"407","matern_1.5",1,"0.5",0.3,"AICc","average",100,0.05,"AICc, average"
"408","matern_1.5",1,"1.5",0.3,"AICc","average",100,0.68,"AICc, average"
"409","matern_1.5",1,"0.5",0.3,"GCVc","erm",100,0.035,"GCVc, erm"
"410","matern_1.5",1,"1.5",0.3,"GCVc","erm",100,0.585,"GCVc, erm"
"411","matern_1.5",1,"0.5",0.3,"GCVc","average",100,0.02,"GCVc, average"
"412","matern_1.5",1,"1.5",0.3,"GCVc","average",100,0.71,"GCVc, average"
"413","matern_1.5",1,"0.5",0.3,"gmpml","erm",100,0.005,"gmpml, erm"
"414","matern_1.5",1,"1.5",0.3,"gmpml","erm",100,0.66,"gmpml, erm"
"415","matern_1.5",1,"0.5",0.3,"gmpml","average",100,0.03,"gmpml, average"
"416","matern_1.5",1,"1.5",0.3,"gmpml","average",100,0.775,"gmpml, average"
"417","matern_2.5",2,"0.5",0,"loocv","erm",100,0.025,"loocv, erm"
"418","matern_2.5",2,"1",0,"loocv","erm",100,0.065,"loocv, erm"
"419","matern_2.5",2,"0.5",0,"loocv","average",100,0.01,"loocv, average"
"420","matern_2.5",2,"1",0,"loocv","average",100,0.02,"loocv, average"
"421","matern_2.5",2,"0.5",0,"AICc","erm",100,0.06,"AICc, erm"
"422","matern_2.5",2,"1",0,"AICc","erm",100,0.11,"AICc, erm"
"423","matern_2.5",2,"0.5",0,"AICc","average",100,0.025,"AICc, average"
"424","matern_2.5",2,"1",0,"AICc","average",100,0.145,"AICc, average"
"425","matern_2.5",2,"0.5",0,"GCVc","erm",100,0.07,"GCVc, erm"
"426","matern_2.5",2,"1",0,"GCVc","erm",100,0.11,"GCVc, erm"
"427","matern_2.5",2,"0.5",0,"GCVc","average",100,0.09,"GCVc, average"
"428","matern_2.5",2,"1",0,"GCVc","average",100,0.15,"GCVc, average"
"429","matern_2.5",2,"0.5",0,"gmpml","erm",100,0.105,"gmpml, erm"
"430","matern_2.5",2,"1",0,"gmpml","erm",100,0.105,"gmpml, erm"
"431","matern_2.5",2,"0.5",0,"gmpml","average",100,0.08,"gmpml, average"
"432","matern_2.5",2,"1",0,"gmpml","average",100,0.135,"gmpml, average"
"433","matern_2.5",2,"0.5",0.1,"loocv","erm",100,0.015,"loocv, erm"
"434","matern_2.5",2,"1",0.1,"loocv","erm",100,0.125,"loocv, erm"
"435","matern_2.5",2,"0.5",0.1,"loocv","average",100,0.005,"loocv, average"
"436","matern_2.5",2,"1",0.1,"loocv","average",100,0.06,"loocv, average"
"437","matern_2.5",2,"0.5",0.1,"AICc","erm",100,0.035,"AICc, erm"
"438","matern_2.5",2,"1",0.1,"AICc","erm",100,0.265,"AICc, erm"
"439","matern_2.5",2,"0.5",0.1,"AICc","average",100,0.06,"AICc, average"
"440","matern_2.5",2,"1",0.1,"AICc","average",100,0.195,"AICc, average"
"441","matern_2.5",2,"0.5",0.1,"GCVc","erm",100,0.07,"GCVc, erm"
"442","matern_2.5",2,"1",0.1,"GCVc","erm",100,0.23,"GCVc, erm"
"443","matern_2.5",2,"0.5",0.1,"GCVc","average",100,0.07,"GCVc, average"
"444","matern_2.5",2,"1",0.1,"GCVc","average",100,0.21,"GCVc, average"
"445","matern_2.5",2,"0.5",0.1,"gmpml","erm",100,0.06,"gmpml, erm"
"446","matern_2.5",2,"1",0.1,"gmpml","erm",100,0.205,"gmpml, erm"
"447","matern_2.5",2,"0.5",0.1,"gmpml","average",100,0.085,"gmpml, average"
"448","matern_2.5",2,"1",0.1,"gmpml","average",100,0.27,"gmpml, average"
"449","matern_2.5",2,"0.5",0.2,"loocv","erm",100,0.045,"loocv, erm"
"450","matern_2.5",2,"1",0.2,"loocv","erm",100,0.195,"loocv, erm"
"451","matern_2.5",2,"0.5",0.2,"loocv","average",100,0.005,"loocv, average"
"452","matern_2.5",2,"1",0.2,"loocv","average",100,0.12,"loocv, average"
"453","matern_2.5",2,"0.5",0.2,"AICc","erm",100,0.035,"AICc, erm"
"454","matern_2.5",2,"1",0.2,"AICc","erm",100,0.33,"AICc, erm"
"455","matern_2.5",2,"0.5",0.2,"AICc","average",100,0.075,"AICc, average"
"456","matern_2.5",2,"1",0.2,"AICc","average",100,0.38,"AICc, average"
"457","matern_2.5",2,"0.5",0.2,"GCVc","erm",100,0.05,"GCVc, erm"
"458","matern_2.5",2,"1",0.2,"GCVc","erm",100,0.4,"GCVc, erm"
"459","matern_2.5",2,"0.5",0.2,"GCVc","average",100,0.045,"GCVc, average"
"460","matern_2.5",2,"1",0.2,"GCVc","average",100,0.35,"GCVc, average"
"461","matern_2.5",2,"0.5",0.2,"gmpml","erm",100,0.065,"gmpml, erm"
"462","matern_2.5",2,"1",0.2,"gmpml","erm",100,0.405,"gmpml, erm"
"463","matern_2.5",2,"0.5",0.2,"gmpml","average",100,0.04,"gmpml, average"
"464","matern_2.5",2,"1",0.2,"gmpml","average",100,0.39,"gmpml, average"
"465","matern_2.5",2,"0.5",0.3,"loocv","erm",100,0.03,"loocv, erm"
"466","matern_2.5",2,"1",0.3,"loocv","erm",100,0.19,"loocv, erm"
"467","matern_2.5",2,"0.5",0.3,"loocv","average",100,0.01,"loocv, average"
"468","matern_2.5",2,"1",0.3,"loocv","average",100,0.14,"loocv, average"
"469","matern_2.5",2,"0.5",0.3,"AICc","erm",100,0.045,"AICc, erm"
"470","matern_2.5",2,"1",0.3,"AICc","erm",100,0.345,"AICc, erm"
"471","matern_2.5",2,"0.5",0.3,"AICc","average",100,0.08,"AICc, average"
"472","matern_2.5",2,"1",0.3,"AICc","average",100,0.45,"AICc, average"
"473","matern_2.5",2,"0.5",0.3,"GCVc","erm",100,0.03,"GCVc, erm"
"474","matern_2.5",2,"1",0.3,"GCVc","erm",100,0.36,"GCVc, erm"
"475","matern_2.5",2,"0.5",0.3,"GCVc","average",100,0.025,"GCVc, average"
"476","matern_2.5",2,"1",0.3,"GCVc","average",100,0.43,"GCVc, average"
"477","matern_2.5",2,"0.5",0.3,"gmpml","erm",100,0.045,"gmpml, erm"
"478","matern_2.5",2,"1",0.3,"gmpml","erm",100,0.4,"gmpml, erm"
"479","matern_2.5",2,"0.5",0.3,"gmpml","average",100,0.065,"gmpml, average"
"480","matern_2.5",2,"1",0.3,"gmpml","average",100,0.4,"gmpml, average"
