B,M,n,beta_int,b11,b12,b21,b22,e,prob
1000,1000,200,0,2,5,1,3,0.01,0.047
1000,1000,200,0,2,5,1,3,0.03,0.058
1000,1000,200,0,2,5,1,3,0.05,0.043
1000,1000,200,0,2,5,1,3,0.07,0.049
1000,1000,200,0,2,5,1,3,0.09,0.045
1000,1000,200,0,4,7,3,5,0.01,0.047
1000,1000,200,0,4,7,3,5,0.03,0.054
1000,1000,200,0,4,7,3,5,0.05,0.041
1000,1000,200,0,4,7,3,5,0.07,0.05
1000,1000,200,0,4,7,3,5,0.09,0.056
1000,1000,200,0,6,9,5,7,0.01,0.055
1000,1000,200,0,6,9,5,7,0.03,0.049
1000,1000,200,0,6,9,5,7,0.05,0.054
1000,1000,200,0,6,9,5,7,0.07,0.057
1000,1000,200,0,6,9,5,7,0.09,0.052
1000,1000,200,0,8,11,7,9,0.01,0.05
1000,1000,200,0,8,11,7,9,0.03,0.057
1000,1000,200,0,8,11,7,9,0.05,0.052
1000,1000,200,0,8,11,7,9,0.07,0.063
1000,1000,200,0,8,11,7,9,0.09,0.046
1000,1000,200,0,10,13,9,11,0.01,0.045
1000,1000,200,0,10,13,9,11,0.03,0.049
1000,1000,200,0,10,13,9,11,0.05,0.034
1000,1000,200,0,10,13,9,11,0.07,0.047
1000,1000,200,0,10,13,9,11,0.09,0.047